,movie,count_surprise,count_happy,count_fear,count_angry,count_sad,avg_conf_surprise,avg_conf_happy,avg_conf_fear,avg_conf_angry,avg_conf_sad,avg_rel_face_area_surprise,avg_rel_face_area_happy,avg_rel_face_area_fear,avg_rel_face_area_angry,avg_rel_face_area_sad,total_faces,angry_pct,fear_pct,happy_pct,sad_pct,surprise_pct,max_pct,dominant_emotion
0,dark_knight_rises,534,103,6,71,364,0.7760908687382602,0.7292260015473783,0.5755248765150706,0.7296620036514712,0.7445937890436624,0.08720288875017342,0.08194096098525712,0.09323045267489712,0.06319585724221875,0.09339481795210962,1078,6.586270871985158,0.5565862708719851,9.554730983302411,33.76623376623377,49.53617810760667,49.53617810760667,surprise
1,hp7_deathly_hallows_part_1,334,50,14,19,276,0.8277734472544608,0.7152227711677551,0.6078557989427021,0.6556056879068676,0.7556824240347614,0.08922494132106158,0.08237006172839506,0.16288745590828926,0.06419509421702405,0.09085367183306488,693,2.7417027417027415,2.0202020202020203,7.215007215007215,39.82683982683983,48.1962481962482,48.1962481962482,surprise
2,old_school,358,99,2,81,223,0.8291787444379742,0.789386351000179,0.7343750894069672,0.7618345919950509,0.7955435316658875,0.06748494846367228,0.06044904192079861,0.04327632920833524,0.05338401682095711,0.07318248862439612,763,10.615989515072084,0.2621231979030144,12.975098296199214,29.226736566186105,46.92005242463958,46.92005242463958,surprise
3,dazed_and_confused,240,101,3,39,314,0.8215571625779072,0.8161653230095854,0.6697051127751669,0.751266958621832,0.8012268435043893,0.05883656652576488,0.05989862844980151,0.13657608695652174,0.062312724513811465,0.060056415197390654,697,5.5954088952654235,0.430416068866571,14.49067431850789,45.05021520803443,34.433285509325685,45.05021520803443,sad
4,lotr_2,247,132,17,84,761,0.8275716922543792,0.7574245550415732,0.6315515637397766,0.7989917468456995,0.8649412273342444,0.15852443441670414,0.12212307537177326,0.18568389161220042,0.14028477044753088,0.16789865156713887,1241,6.768734891216761,1.36986301369863,10.636583400483481,61.3215149073328,19.90330378726833,61.3215149073328,sad
5,diehard,402,99,3,77,363,0.8074558499588895,0.7225401338302728,0.6684986154238383,0.6977910964519947,0.7705249763388936,0.09995930408378319,0.08891429015685141,0.21669677556473163,0.07943347034311324,0.11922294535993004,944,8.15677966101695,0.31779661016949157,10.48728813559322,38.45338983050847,42.58474576271186,42.58474576271186,surprise
6,pulp_fiction,401,166,5,67,477,0.8050496691182962,0.7762993109154414,0.5142469227313995,0.6778614948044962,0.7852427589568453,0.09505313759385982,0.07849581116874114,0.07858542559706062,0.08230079699481767,0.11962354177017277,1116,6.003584229390681,0.4480286738351254,14.874551971326163,42.74193548387097,35.93189964157706,42.74193548387097,sad
7,big_hero_6,279,30,1,10,115,0.9083710360911584,0.710212305188179,0.8075367212295532,0.8343193173408509,0.7829247049663378,0.07952564272755429,0.08292091049382716,0.049263117283950615,0.07979668209876543,0.10074449812130973,435,2.2988505747126435,0.22988505747126436,6.896551724137931,26.436781609195403,64.13793103448275,64.13793103448275,surprise
8,iron_man_3,405,68,13,48,371,0.7877535197469924,0.7738283767419702,0.6673890581497779,0.6491492570688328,0.7893211191715899,0.10696099108367634,0.09511205292302108,0.10770655270655269,0.15324773341049383,0.11469980200326113,905,5.303867403314917,1.4364640883977902,7.513812154696133,40.994475138121544,44.751381215469614,44.751381215469614,surprise
9,hp5_order_phoenix,428,55,11,61,295,0.871936444854625,0.7443733654238961,0.690688740123402,0.7048164508381828,0.7767930253077362,0.07503630869966538,0.08353900112233448,0.08422874579124578,0.06407280914794576,0.09162957731743036,850,7.1764705882352935,1.2941176470588236,6.470588235294119,34.705882352941174,50.35294117647059,50.35294117647059,surprise
10,scott_pilgrim,572,119,7,56,337,0.861150465124137,0.7761661588143902,0.8146753311157227,0.7472798068608556,0.7835356909726423,0.11908320424882114,0.11795810124946189,0.103674804062354,0.0945647848578695,0.12141965507910027,1091,5.132905591200734,0.6416131989000917,10.907424381301558,30.889092575618697,52.428964252978915,52.428964252978915,surprise
11,gaffigan_kingbaby,171,25,0,262,228,0.8113252435162751,0.7526890230178833,0.0,0.8543952191604003,0.7627792031618587,0.03866969245304536,0.0557814531104921,0.0,0.038307048576410326,0.041495448085161875,686,38.19241982507289,0.0,3.6443148688046647,33.23615160349854,24.927113702623906,38.19241982507289,angry
